last_name, first_name,player_id,year,batting_avg,slg_percent,xba,xslg,woba,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel_batted_rate,swing_percent,pull_percent,straightaway_percent,opposite_percent,
Cabrera, Miguel,408234,2020,.250,.417,.286,.515,.323,.375,.363,.229,93.2,12.1,36.8,9.7,47.7,37.4,37.4,25.2,
Cruz Jr., Nelson,443558,2020,.303,.595,.266,.540,.411,.380,.366,.273,91.6,9.4,39.4,15,47.6,29.1,43.3,27.6,
Peralta, David,444482,2020,.300,.433,.258,.371,.333,.296,.301,.114,89.2,6.4,29.4,5,46.6,38.1,34.4,27.5,
Longoria, Evan,446334,2020,.254,.425,.280,.522,.308,.363,.327,.241,91.7,10.7,29.9,11.5,45,42,36.3,21.7,
Cabrera, Asdrubal,452678,2020,.242,.447,.242,.427,.319,.316,.306,.185,89.5,13.7,30.5,6.5,46.1,42.9,37,20.1,
Blackmon, Charlie,453568,2020,.303,.448,.276,.429,.340,.332,.339,.153,86.9,13.5,38.5,4.9,50.2,40.1,33.5,26.4,
Solano, Donovan,456781,2020,.326,.463,.276,.415,.357,.318,.318,.139,88.5,15.5,43.4,4.6,51.9,33.6,36.8,29.6,
McCutchen, Andrew,457705,2020,.253,.433,.273,.479,.327,.355,.343,.206,89.7,18.2,36.5,8.2,40.6,41.8,35.9,22.4,
Votto, Joey,458015,2020,.226,.446,.253,.478,.347,.369,.377,.225,87.4,15.4,36.4,9.1,36.2,40.6,35,24.5,
Santana, Carlos,467793,2020,.199,.350,.250,.445,.316,.369,.390,.195,88,12.2,32.3,6.7,36.3,42.7,35.4,22,
Brantley Jr., Michael,488726,2020,.300,.476,.260,.413,.362,.325,.327,.153,88.7,10.2,34.5,4.9,39.9,43,31.7,25.4,
Gurriel, Yuli,493329,2020,.232,.384,.262,.404,.281,.315,.311,.142,89.3,13.9,34.4,3.7,48.8,33.3,38.1,28.6,
Escobar, Eduardo,500871,2020,.212,.335,.261,.394,.257,.305,.316,.132,88.6,18.1,34.8,5.5,51.4,40.2,36,23.8,
Martinez, J.D.,502110,2020,.213,.389,.229,.444,.290,.318,.305,.216,89.5,14.7,39.6,11,51.9,35.1,40.9,24,
Reddick, Josh,502210,2020,.245,.378,.245,.358,.304,.301,.317,.113,85.9,19.1,34.7,4.8,46.5,40.1,39.5,20.4,
Goldschmidt, Paul,502671,2020,.304,.466,.285,.510,.387,.396,.403,.224,89.2,11.7,42.3,10.7,40.6,33.6,34.9,31.5,
Gonzalez, Marwin,503556,2020,.211,.320,.240,.401,.269,.314,.315,.162,89.2,12.6,31.9,5.1,43,42,37.7,20.3,
Altuve, Jose,514888,2020,.219,.344,.229,.347,.278,.286,.295,.118,86.7,9.3,24.8,4.6,50,38.6,36.6,24.8,
Hernandez, Cesar,514917,2020,.283,.408,.273,.396,.335,.330,.346,.123,89.1,5.6,37.3,4,43.6,37.9,35,27.1,
Segura, Jean,516416,2020,.266,.422,.250,.391,.333,.318,.334,.141,87.7,11.2,31.8,6.1,46.8,27,41.9,31.1,
Marte, Starling,516782,2020,.281,.430,.262,.417,.333,.324,.323,.155,87.1,6.5,30.3,6.4,52.7,37.8,37.2,25,
Freeman, Freddie,518692,2020,.341,.640,.338,.657,.456,.462,.459,.319,92.4,17.2,49.2,14.7,48.2,39,29.4,31.6,
Grandal, Yasmani,518735,2020,.230,.422,.207,.403,.338,.327,.334,.196,90.3,15.6,38.1,7.6,34.1,37.1,39,23.8,
LeMahieu, DJ,518934,2020,.364,.590,.308,.453,.429,.361,.371,.145,91.3,2.3,29.7,2.9,44.1,22.3,34.3,43.4,
Rizzo, Anthony,519203,2020,.222,.414,.265,.411,.326,.353,.381,.146,87.7,16.7,34.7,7.8,42.5,43.1,35.3,21.6,
Flores, Wilmer,527038,2020,.268,.515,.249,.434,.347,.312,.297,.185,87.9,19,37.4,6.1,48,45.4,32.5,22.1,
Garcia, Avisail,541645,2020,.238,.326,.244,.375,.296,.317,.339,.131,87.4,8.7,37.1,3.8,54.6,36.4,37.9,25.8,
Ozuna, Marcell,542303,2020,.338,.636,.313,.635,.444,.436,.410,.323,93,16.4,39.1,15.4,46.3,42.6,33.1,24.3,
Villar, Jonathan,542340,2020,.232,.292,.208,.277,.266,.253,.279,.069,86.6,1.6,18.7,1.5,51.6,35.1,38.1,26.9,
Aguilar, Jesus,542583,2020,.277,.457,.271,.452,.347,.345,.348,.182,89.3,16,37.5,7.2,47.3,40.1,30.3,29.6,
